hname,shcode,expcode,etfchk,filler,gubun
ACE 26-06 회사채(AA-이상)액티브,461270,KR7461270001,1,,1
HANARO 글로벌생성형AI액티브,461340,KR7461340002,1,,1
KODEX 코스닥글로벌,461450,KR7461450009,1,,1
ARIRANG 국고채10년액티브,461460,KR7461460008,1,,1
KBSTAR 글로벌자산배분액티브,461490,KR7461490005,1,,1
HANARO 종합채권(AA-이상)액티브,461500,KR7461500001,1,,1
TIGER 코스닥글로벌,461580,KR7461580003,1,,1
SOL 미국30년국채액티브(H),461600,KR7461600009,1,,1
ARIRANG 미국테크10iSelect,461900,KR7461900003,1,,1
ARIRANG 미국테크10레버리지iSelect(합성),461910,KR7461910002,1,,1
KODEX 2차전지핵심소재10 Fn,461950,KR7461950008,1,,1
TIGER 2차전지소재Fn,462010,KR7462010000,1,,1
KODEX 2차전지산업레버리지,462330,KR7462330002,1,,1
에셋플러스 글로벌다이나믹시니어액티브,462340,KR7462340001,1,,1
조선내화,462520,KR7462520008,0,,1
SOL 25-09 회사채(AA-이상)액티브,462540,KR7462540006,1,,1
KoAct 바이오헬스케어액티브,462900,KR7462900002,1,,1
TIMEFOLIO K바이오액티브,463050,KR7463050005,1,,1
TIGER 스페이스테크iSelect,463250,KR7463250001,1,,1
KTOP 단기금융채액티브,463290,KR7463290007,1,,1
KBSTAR 중국본토CSI300,463300,KR7463300004,1,,1
KODEX 미국S&P500유틸리티,463640,KR7463640003,1,,1
KODEX 미국S&P500테크놀로지,463680,KR7463680009,1,,1
KODEX 미국S&P500통신서비스,463690,KR7463690008,1,,1
HANARO 글로벌반도체TOP10 SOLACTIVE,464060,KR7464060003,1,,1
히어로즈 24-09 회사채(AA-이상)액티브,464230,KR7464230002,1,,1
히어로즈 26-09 회사채(AA-이상)액티브,464240,KR7464240001,1,,1
TIGER 글로벌AI&로보틱스 INDXX,464310,KR7464310002,1,,1
ARIRANG 미국채30년액티브,464470,KR7464470004,1,,1
KBSTAR 25-03 회사채(AA-이상)액티브,464540,KR7464540004,1,,1
SOL 자동차소부장Fn,464600,KR7464600006,1,,1
SOL 의료기기소부장Fn,464610,KR7464610005,1,,1
ARIRANG 일본반도체소부장Solactive,464920,KR7464920008,1,,1
TIGER 글로벌혁신블루칩TOP10,464930,KR7464930007,1,,1
KBSTAR 2차전지TOP10,465330,KR7465330009,1,,1
KBSTAR 2차전지TOP10인버스(합성),465350,KR7465350007,1,,1
ACE 미국빅테크TOP7 Plus,465580,KR7465580009,1,,1
ACE 미국빅테크TOP7 Plus레버리지(합성),465610,KR7465610004,1,,1
ACE 미국빅테크TOP7 Plus인버스(합성),465620,KR7465620003,1,,1
TIGER 일본반도체FACTSET,465660,KR7465660009,1,,1
TIGER 미국캐시카우100,465670,KR7465670008,1,,1
KODEX 24-12 은행채(AA+이상)액티브,465680,KR7465680007,1,,1
STX그린로지스,465770,KR7465770006,0,,1
마이티 26-09 특수채(AAA)액티브,465780,KR7465780005,1,,1
KTOP 25-08 회사채(A+이상)액티브,466400,KR7466400009,1,,1
BNK 2차전지양극재,466810,KR7466810009,1,,1
SOL 조선TOP3플러스,466920,KR7466920006,1,,1
SOL 자동차TOP3플러스,466930,KR7466930005,1,,1
TIGER 은행고배당플러스TOP10,466940,KR7466940004,1,,1
TIGER 글로벌AI액티브,466950,KR7466950003,1,,1
KOSEF 코스닥글로벌,467540,KR7467540001,1,,1
